Article title,Authors,Journal title,Volume,Issue,Pages,Volume year,DOI,Published online date,URL,Article views (as of 24-Jan-2026),Crossref citations (as of 24-Jan-2026)
"Defense spending and economic growth: evidence from China, 1952-2012","Mie Augier, Jerry Guo, Phillip Karber, Robert McNab",Defence and Peace Economics,28,1,p65 - p90,2017,10.1080/10242694.2015.1099204,06-Nov-2015,https://doi.org/10.1080/10242694.2015.1099204,1111.0,28.0
Death spiral of European offset?,"Jonata Anicetti, Ron Matthews",Defense & Security Analysis,36,4,p453 - p454,2020,10.1080/14751798.2020.1857917,20-Jan-2021,https://doi.org/10.1080/14751798.2020.1857917,356.0,1.0
Critical review of the protection of aircraft defense forces during the conflict in Nagorno Karabah in 2020,Miroslav Terzić,Small Wars & Insurgencies,33,6,p1017 - p1031,2022,10.1080/09592318.2021.2025286,12-Jan-2022,https://doi.org/10.1080/09592318.2021.2025286,536.0,6.0
The economics of defence,,The Adelphi Papers,26,214,p31 - p44,1986,10.1080/05679328608448761,02-May-2008,https://doi.org/10.1080/05679328608448761,17.0,0.0
The Profitability of Non-Competitive Defence Contracts: The UK Experience,Keith Hartley,Defence and Peace Economics,29,6,p577 - p594,2018,10.1080/10242694.2017.1287157,13-Feb-2017,https://doi.org/10.1080/10242694.2017.1287157,746.0,2.0
"The Australian 2016 Defence White Paper, great-power rivalry and a 'rules-based order': an imagined correspondence between Carr, Bull and Bell",Benjamin Zala,Australian Journal of International Affairs,70,5,p441 - p452,2016,10.1080/10357718.2016.1203391,19-Jul-2016,https://doi.org/10.1080/10357718.2016.1203391,1591.0,2.0
The cult of the victim: an analysis of the collective identity of the English Defence League,Alexander Oaten,Patterns of Prejudice,48,4,p331 - p349,2014,10.1080/0031322x.2014.950454,18-Aug-2014,https://doi.org/10.1080/0031322x.2014.950454,2493.0,17.0
Community Defence In Afghanistan,Michael Stevens,The RUSI Journal,156,3,p42 - p47,2011,10.1080/03071847.2011.591089,21-Jun-2011,https://doi.org/10.1080/03071847.2011.591089,604.0,1.0
Civilian supremacy in democracies with 'fault lines': The role of the parliamentary standing committee on defence in Bangladesh,Syed Imtiaz Ahmed,Democratization,13,2,p283 - p302,2006,10.1080/13510340500523994,24-Jan-2007,https://doi.org/10.1080/13510340500523994,278.0,1.0
Optimal defence structure for a small country,"Arthur Grimes, James Rolfe",Defence and Peace Economics,13,4,p271 - p286,2002,10.1080/10242690212353,17-Sep-2010,https://doi.org/10.1080/10242690212353,295.0,8.0
Collaborative Defence Procurement in a Post-Brexit World,Peter Magill,The RUSI Journal,166,2,p62 - p70,2021,10.1080/03071847.2021.1938659,28-Jun-2021,https://doi.org/10.1080/03071847.2021.1938659,549.0,2.0
A new defence construct: 'rapid dominance',Harlan Ullman,The RUSI Journal,141,5,p8 - p12,1996,10.1080/03071849608446063,20-Mar-2008,https://doi.org/10.1080/03071849608446063,15.0,0.0
Organisation of Defence: The Services and the Centre,K Perkins,The RUSI Journal,119,2,p49 - p55,1974,10.1080/03071847409427072,11-Sep-2009,https://doi.org/10.1080/03071847409427072,18.0,0.0
Red devils and white reaction: Jack Fegan and the Workers Defence Corps of the 1930s∗,Andrew Moore,Journal of Australian Studies,33,2,p165 - p179,2009,10.1080/14443050902883389,18-May-2009,https://doi.org/10.1080/14443050902883389,310.0,0.0
Europe and tactical missile defence,,Strategic Comments,3,8,p1 - p2,1997,10.1080/1356788970385,22-Oct-2007,https://doi.org/10.1080/1356788970385,39.0,0.0
A trajectory for homeland ballistic missile defense,Joseph T Buontempo,Defense & Security Analysis,31,2,p99 - p109,2015,10.1080/14751798.2015.1014157,02-Apr-2015,https://doi.org/10.1080/14751798.2015.1014157,921.0,3.0
"Dissociation, repression, and return. The thirty-year arc of the concept of defence in Freud and towards contemporary psychoanalysis",Giuseppe Riefolo,The International Journal of Psychoanalysis,106,5,p938 - p957,2025,10.1080/00207578.2025.2466464,12-Nov-2025,https://doi.org/10.1080/00207578.2025.2466464,210.0,0.0
Malaysia-India Defence Cooperation: Need for a Paradigm Shift before Strategic Partnership,Suseela Devi Chandran,Strategic Analysis,38,1,p79 - p90,2014,10.1080/09700161.2014.863466,12-Feb-2014,https://doi.org/10.1080/09700161.2014.863466,434.0,2.0
Prime defence contractors,,Strategic Comments,10,1,p1 - p2,2004,10.1080/1356788041015,22-Oct-2007,https://doi.org/10.1080/1356788041015,53.0,0.0
India-Russia Defence Co-operation,Jyotsna Bakshi,Strategic Analysis,30,2,p449 - p466,2006,10.1080/17540054.2006.12288840,03-Jul-2023,https://doi.org/10.1080/17540054.2006.12288840,88.0,4.0
Pre-exposure Prophylaxis of Viral Hepatitis with Immune Serum Globulin in an Endemic Area: A Trial in Field Units of the Israel Defence Forces,Jeremy D Kark,Scandinavian Journal of Infectious Diseases,15,1,p3 - p6,1983,10.3109/inf.1983.15.issue-1.01,02-Jan-2015,https://doi.org/10.3109/inf.1983.15.issue-1.01,6.0,12.0
The Challenge of Electronics in Defence,V S Arunachalam,IETE Journal of Research,29,6,p283 - p285,1983,10.1080/03772063.1983.11453061,10-Jul-2015,https://doi.org/10.1080/03772063.1983.11453061,4.0,0.0
Ethics and Business Conduct in Defence Establishments: An International Review,"Ben Magahy, Mark Pyman",Journal of Military Ethics,9,1,p57 - p76,2010,10.1080/15027570903523065,22-Feb-2010,https://doi.org/10.1080/15027570903523065,323.0,4.0
The AUKUS agreement: a new form of the plurilateral defence alliance? A view from downunder,"Satish Chand, Stefan Markowski, Robert Wylie",Defense & Security Analysis,40,3,p430 - p449,2024,10.1080/14751798.2024.2385704,14-Oct-2024,https://doi.org/10.1080/14751798.2024.2385704,5146.0,2.0
Stuck on the stairway of change: the EU's enlargement and security and defence policies post 2022,"Antoaneta L Dimitrova, Seda Gürkan, Joachim Koops",West European Politics,,,p1 - p27,5187,10.1080/01402382.2025.2539010,22-Aug-2025,https://doi.org/10.1080/01402382.2025.2539010,3042.0,1.0
Total defence,Ken Bowen,OR Insight,10,1,p2 - p7,1997,10.1057/ori.1997.1,14-Aug-2019,https://doi.org/10.1057/ori.1997.1,3.0,1.0
Western Europe: Prospects for cooperation in defence,"Clive Rose, J van Houwelingen",The RUSI Journal,130,3,p10 - p13,1985,10.1080/03071848508522678,10-Jun-2008,https://doi.org/10.1080/03071848508522678,11.0,0.0
The Political Economy of China's Defence Modernisation,Bhartendu Kumar Singh,Strategic Analysis,29,4,p680 - p705,2005,10.1080/09700161.2005.12049835,18-Jan-2019,https://doi.org/10.1080/09700161.2005.12049835,52.0,1.0
"The Early Development of Women's Judo in Belgium from the Liberation to the late 1950s: Emancipation, Sport and Self-defence",Haimo Groenen,The International Journal of the History of Sport,29,13,p1819 - p1841,2012,10.1080/09523367.2012.708608,05-Sep-2012,https://doi.org/10.1080/09523367.2012.708608,366.0,2.0
The developing law of privacy and the limits to the public interest defence: the Grand Chamber judgment in Couderc and Hachette Filipacchi Associés v France,Leto Cariolou,Journal of Media Law,8,2,p138 - p152,2016,10.1080/17577632.2016.1253157,28-Nov-2016,https://doi.org/10.1080/17577632.2016.1253157,731.0,1.0
The Security and Defence of Sweden,Nils Andrén,The RUSI Journal,121,2,p23 - p32,1976,10.1080/03071847609419259,11-Sep-2009,https://doi.org/10.1080/03071847609419259,25.0,0.0
India-US Defence Cooperation: Assessing Strategic Imperatives,Vivek Mishra,Strategic Analysis,42,1,p1 - p14,2018,10.1080/09700161.2017.1420121,21-Mar-2018,https://doi.org/10.1080/09700161.2017.1420121,956.0,2.0
Ballistic missile defence environments,,The Adelphi Papers,28,233,p32 - p40,1988,10.1080/05679328808448857,02-May-2008,https://doi.org/10.1080/05679328808448857,18.0,1.0
Defence Options for Change: Can History Help us Choose?,Michael Esq Hobkirk,The RUSI Journal,135,4,p69 - p76,1990,10.1080/03071849008445478,20-Mar-2008,https://doi.org/10.1080/03071849008445478,18.0,0.0
"Back to the land? Legitimation, carbon offsets and Australia's emissions trading scheme",Rebecca Pearse,"Global Change, Peace & Security",25,1,p43 - p60,2013,10.1080/14781158.2013.758098,22-Feb-2013,https://doi.org/10.1080/14781158.2013.758098,1239.0,8.0
"Islamophobia, war and non-Muslims as victims: an analysis of online discourse on an English Defence League message board","Jack Aldridge-Deacon, Chris Anderson, Jamie Cleland",Ethnic and Racial Studies,41,9,p1541 - p1557,2018,10.1080/01419870.2017.1287927,07-Feb-2017,https://doi.org/10.1080/01419870.2017.1287927,2389.0,9.0
Reallocating Defence Expenditures for Development: The South African Experience,Rocky Williams,African Security Review,7,2,p33 - p47,1998,10.1080/10246029.1998.9627848,26-Jul-2010,https://doi.org/10.1080/10246029.1998.9627848,39.0,1.0
Killing in defence of property,Stanley Yeo,Commonwealth Law Bulletin,36,2,p281 - p293,2010,10.1080/03050718.2010.481397,08-Jun-2010,https://doi.org/10.1080/03050718.2010.481397,755.0,0.0
The defense industry in Lithuania: a case study of the Lithuanian Iron Triangle through an Interconnectivity Map framework,Donatas Palavenis,Journal of Baltic Studies,53,1,p85 - p118,2022,10.1080/01629778.2021.1969420,23-Aug-2021,https://doi.org/10.1080/01629778.2021.1969420,477.0,3.0
"Offsets, Arms, and Innovation",Grant T Hammond,The Washington Quarterly,10,1,p173 - p185,1987,10.1080/01636608709477376,13-Jul-2009,https://doi.org/10.1080/01636608709477376,37.0,1.0
The Baltic states: Defence and geopolitics,Jan Arveds Trapans,European Security,7,3,p92 - p100,1998,10.1080/09662839808407374,19-Oct-2007,https://doi.org/10.1080/09662839808407374,247.0,4.0
Transitioning defence aerospace support solution to service commercial sector maintenance repair and overhaul,"Vicki E Hodges, John P T Mo",International Journal of Production Research,56,6,p2199 - p2217,2018,10.1080/00207543.2017.1346315,03-Aug-2017,https://doi.org/10.1080/00207543.2017.1346315,443.0,3.0
Transformation or stagnation? Rethinking Australia's defence,Alan Dupont,Australian Journal of International Affairs,57,1,p55 - p76,2003,10.1080/1035771032000073641,09-Jun-2010,https://doi.org/10.1080/1035771032000073641,2266.0,12.0
DEFENCE PERSPECTIVES,"Gordon Brown, David Cameron, Nick Clegg",The RUSI Journal,155,2,p6 - p12,2010,10.1080/03071847.2010.486539,14-May-2010,https://doi.org/10.1080/03071847.2010.486539,840.0,0.0
European defence in an interpolar context: explaining the limitations of French-German contribution to European strategic autonomy,Delphine Deschaux-Dutard,Defence Studies,22,4,p591 - p608,2022,10.1080/14702436.2022.2110474,25-Sep-2022,https://doi.org/10.1080/14702436.2022.2110474,2402.0,9.0
Democracy and Defence in Latvia,Jan Arveds Trapans,European Security,14,1,p51 - p70,2005,10.1080/09662830500042387,04-Aug-2006,https://doi.org/10.1080/09662830500042387,219.0,0.0
Europe's defence project - time for transatlantic rearrangement,Karl-Heinz Kamp,Global Affairs,1,2,p183 - p191,2015,10.1080/23340460.2015.1035860,02-Jun-2015,https://doi.org/10.1080/23340460.2015.1035860,386.0,1.0
Technical Aspects of Bio-Defence,Ajey Lele,Strategic Analysis,30,4,p834 - p855,2006,10.1080/17540054.2006.12288866,03-Jul-2023,https://doi.org/10.1080/17540054.2006.12288866,5.0,1.0
"'The Thin Edge of the Wedge': Anglo-South African Relations, Dominion Nationalism and the Formation of the Seaward Defence Force in 1939-1940",Ian van der Waag,Contemporary British History,24,4,p427 - p449,2010,10.1080/13619462.2010.518409,28-Sep-2010,https://doi.org/10.1080/13619462.2010.518409,260.0,0.0
"Why nations fail: defense spending, fighting commitment and, inter-nations-prosperity-poverty-gap",Binbin Meng,Defence and Peace Economics,26,4,p357 - p382,2015,10.1080/10242694.2014.925323,12-Jun-2014,https://doi.org/10.1080/10242694.2014.925323,702.0,0.0
Australian defence capabilities,,Strategic Comments,12,7,p1 - p2,2006,10.1080/1356788061274,22-Oct-2007,https://doi.org/10.1080/1356788061274,134.0,0.0
Defence and security in a time of change,Tom MP King,The RUSI Journal,135,2,p1 - p7,1990,10.1080/03071849008445430,20-Mar-2008,https://doi.org/10.1080/03071849008445430,14.0,0.0
The making of British Defence Policy,William Hopkinson,The RUSI Journal,145,5,p21 - p24,2000,10.1080/03071840008446566,20-Mar-2008,https://doi.org/10.1080/03071840008446566,176.0,6.0
Missile defence in a new strategic environment: The view from Washington,John R Bolton,The RUSI Journal,147,6,p72 - p75,2002,10.1080/03071840208446838,20-Mar-2008,https://doi.org/10.1080/03071840208446838,39.0,0.0
Parliamentary scrutiny of defence,"Bruce MP George, J David Morgan",The Journal of Legislative Studies,5,1,p1 - p11,1999,10.1080/13572339908420580,16-Nov-2007,https://doi.org/10.1080/13572339908420580,139.0,4.0
Defence Procurement: A European Identity?,Ron Smith,Whitehall Papers,18,1,p36 - p52,1993,10.1080/02681309309414900,04-Jun-2009,https://doi.org/10.1080/02681309309414900,9.0,0.0
The Soviet Defence industry and conversion,Julian Cooper,The RUSI Journal,135,3,p51 - p56,1990,10.1080/03071849008445456,20-Mar-2008,https://doi.org/10.1080/03071849008445456,17.0,2.0
THE DEFENCE-DEBT NEXUS: EVIDENCE FROM THE HIGH-INCOME MEMBERS OF NATO,W Robert J Alexander,Defence and Peace Economics,24,2,p133 - p145,2013,10.1080/10242694.2012.673839,30-Apr-2012,https://doi.org/10.1080/10242694.2012.673839,568.0,17.0
THE EXTENT OF SINGLE SOURCING IN DEFENCE PROCUREMENT AND ITS RELEVANCE AS A CORRUPTION RISK: A FIRST LOOK,"Mark Pyman, Dominic Scott, Regina Wilson",Defence and Peace Economics,20,3,p215 - p232,2009,10.1080/10242690802016506,09-Jul-2009,https://doi.org/10.1080/10242690802016506,938.0,21.0
"Country Survey: An Economic Analysis Of Military Expenditures In The Netherlands, 1990-2009","Eric Jan de Bakker, Robert Beeres, Myriame Bollen, Eibert Westerink",Defence and Peace Economics,23,4,p365 - p387,2012,10.1080/10242694.2011.607283,23-Nov-2011,https://doi.org/10.1080/10242694.2011.607283,781.0,6.0
Nuclear Zero and Ballistic-Missile Defence,Dean A Wilkening,Survival,52,6,p107 - p126,2010,10.1080/00396338.2010.540785,09-Jun-2011,https://doi.org/10.1080/00396338.2010.540785,1566.0,0.0
Enforced Pacific Settlement or Guaranteed Mutual Defence? British and US Approaches to Collective Security in the Eclectic Covenant of the League of Nations,Martin Ceadel,The International History Review,35,5,p993 - p1008,2013,10.1080/07075332.2013.817471,15-Jul-2013,https://doi.org/10.1080/07075332.2013.817471,840.0,4.0
Defence Budgeting System: Need for Change,Pravin Joshi,Strategic Analysis,29,4,p653 - p679,2005,10.1080/09700161.2005.12049834,18-Jan-2019,https://doi.org/10.1080/09700161.2005.12049834,31.0,0.0
The Machinery of the Committee of Imperial Defence,H L Ismay,Royal United Services Institution. Journal,84,534,p241 - p257,1939,10.1080/03071843909419890,11-Sep-2009,https://doi.org/10.1080/03071843909419890,53.0,1.0
The Russian Defence Industry Confronts the Market: Findings of a Longitudinal Study,"Alexei Izyumov, Leonid Kosals",Europe-Asia Studies,63,5,p733 - p756,2011,10.1080/09668136.2011.576016,21-Jun-2011,https://doi.org/10.1080/09668136.2011.576016,412.0,3.0
The matrix reloaded - what future for the defence firm?,DEREK BRADDON,Defence and Peace Economics,15,6,p499 - p507,2004,10.1080/1024269042000246657,25-Jan-2007,https://doi.org/10.1080/1024269042000246657,162.0,4.0
Estimating Soviet defence spending,Andrew W Marshall,Survival,18,2,p73 - p79,1976,10.1080/00396337608441603,03-Mar-2008,https://doi.org/10.1080/00396337608441603,35.0,1.0
"Shelter news: affordance, place and proximity in news media representations of civil defence artefacts",Peter Bennesved,Critical Military Studies,10,1,p1 - p18,2024,10.1080/23337486.2023.2188004,07-Mar-2023,https://doi.org/10.1080/23337486.2023.2188004,1185.0,1.0
Hunting the watchmen the Ulster Defence Regiment and IRA strategy,Daniel Chesse,Small Wars & Insurgencies,35,4,p545 - p572,2024,10.1080/09592318.2024.2319671,01-Mar-2024,https://doi.org/10.1080/09592318.2024.2319671,403.0,0.0
The event-agency-structure framework for explaining continuity and change in foreign and defence policy in Europe: the case of Germany prior to and after the Zeitenwende,Christoph O Meyer,Defence Studies,25,4,p884 - p908,2025,10.1080/14702436.2025.2562979,24-Sep-2025,https://doi.org/10.1080/14702436.2025.2562979,979.0,2.0
New thinking and old realities in Soviet defence policy,Edward L III Warner,Survival,31,1,p13 - p33,1989,10.1080/00396338908442447,03-Mar-2008,https://doi.org/10.1080/00396338908442447,36.0,6.0
China Debates Missile Defence,Kori Urayama,Survival,46,2,p123 - p142,2004,10.1093/survival/46.2.123,23-Mar-2007,https://doi.org/10.1093/survival/46.2.123,332.0,14.0
Moral Realism: A Defence,Michael Ridge,Australasian Journal of Philosophy,82,3,p540 - p544,2004,10.1080/713659870,08-Apr-2010,https://doi.org/10.1080/713659870,174.0,0.0
"The Diner's Defence: Producers, Consumers, and the Benefits of Existence",Abelard Podgorski,Australasian Journal of Philosophy,98,1,p64 - p77,2020,10.1080/00048402.2018.1564777,10-Feb-2019,https://doi.org/10.1080/00048402.2018.1564777,1010.0,2.0
Towards a new management strategy for defence,David Esq Omand,The RUSI Journal,134,3,p19 - p26,1989,10.1080/03071848908445381,20-Mar-2008,https://doi.org/10.1080/03071848908445381,38.0,1.0
The impact of the us strategic defence initiative on the space race,Vasilis Zervos,Defence and Peace Economics,15,4,p365 - p377,2004,10.1080/1024269042000182928,25-Jan-2007,https://doi.org/10.1080/1024269042000182928,1058.0,1.0
Herbivore-induced defence response in the brown seaweed Fucus vesiculosus (Phaeophyceae): temporal pattern and gene expression,"Carla R Flöthe, Uwe John, Inken Kruse, Markus Molis, Florian Weinberger",European Journal of Phycology,49,3,p356 - p369,2014,10.1080/09670262.2014.946452,04-Sep-2014,https://doi.org/10.1080/09670262.2014.946452,1632.0,17.0
The security & defence policies of the conservative party,Iain Duncan MP Smith,The RUSI Journal,146,4,p44 - p49,2001,10.1080/03071840108446675,20-Mar-2008,https://doi.org/10.1080/03071840108446675,63.0,0.0
European defence autonomy: Inevitably illusory,Kenneth Payne,Cambridge Review of International Affairs,14,2,p321 - p339,2001,10.1080/09557570108400377,13-Sep-2007,https://doi.org/10.1080/09557570108400377,109.0,0.0
The vicissitudes of Russian missile defense,Alexey Arbatov,Bulletin of the Atomic Scientists,74,4,p227 - p237,2018,10.1080/00963402.2018.1486595,28-Jun-2018,https://doi.org/10.1080/00963402.2018.1486595,1855.0,0.0
Propaganda Tricks - Good and Bad: The Posters of the Mobile Visual Instruction and Propaganda Section of the South African Union Defence Force from January to July 1945,Jacqueline Deirdre Pretorius,South African Historical Journal,68,4,p573 - p622,2016,10.1080/02582473.2016.1188978,21-Jun-2016,https://doi.org/10.1080/02582473.2016.1188978,879.0,2.0
The defence industries,,The Adelphi Papers,30,250,p25 - p45,1990,10.1080/05679329008448968,02-May-2008,https://doi.org/10.1080/05679329008448968,16.0,0.0
Security and defence as strategy,,The Adelphi Papers,26,214,p13 - p30,1986,10.1080/05679328608448760,02-May-2008,https://doi.org/10.1080/05679328608448760,20.0,0.0
Introduction: CITF-A Lifeline for a European Defence Policy?,Richard Cobbold,Whitehall Papers,40,1,p1 - p9,1997,10.1080/02681309709414800,04-Jun-2009,https://doi.org/10.1080/02681309709414800,29.0,0.0
European defence and the new détente: The collapse of the cold war system,Philip G Cerny,West European Politics,13,4,p139 - p151,1990,10.1080/01402389008424825,03-Dec-2007,https://doi.org/10.1080/01402389008424825,42.0,1.0
On the future defence policy of Russia,Sergey Vadimovich Stepashin,The RUSI Journal,137,2,p35 - p37,1992,10.1080/03071849208445585,20-Mar-2008,https://doi.org/10.1080/03071849208445585,16.0,0.0
"Campaign Plans, War Plans and British Defence Policy",Hew Strachan,The RUSI Journal,153,6,p28 - p31,2008,10.1080/03071840802670023,16-Jan-2009,https://doi.org/10.1080/03071840802670023,275.0,2.0
"Japan as a Seapower: Strategy, Doctrine, and Capabilities under Three Defence Reviews, 1995-2010",Alessio Patalano,Journal of Strategic Studies,37,3,p403 - p441,2014,10.1080/01402390.2014.904788,01-Jul-2014,https://doi.org/10.1080/01402390.2014.904788,2003.0,8.0
"Market Structures, Competition and Innovation: Grounds for an Alternative Defence Industrial Policy",Renaud Bellais,Defence and Peace Economics,35,4,p448 - p463,2024,10.1080/10242694.2023.2182869,20-Feb-2023,https://doi.org/10.1080/10242694.2023.2182869,910.0,4.0
Targets for the defence community and its partners,John Spellar,The RUSI Journal,144,3,p74 - p77,1999,10.1080/03071849908446406,20-Mar-2008,https://doi.org/10.1080/03071849908446406,28.0,1.0
The ambitious UK-France defence accord,,Strategic Comments,16,9,p1 - p3,2010,10.1080/13567888.2010.545536,16-Dec-2010,https://doi.org/10.1080/13567888.2010.545536,236.0,0.0
The Arab Gulf defense pivot: Defense industrial policy in a changing geostrategic context,Heiko Borchert,Comparative Strategy,37,4,p299 - p315,2018,10.1080/01495933.2018.1497345,06-Feb-2019,https://doi.org/10.1080/01495933.2018.1497345,525.0,3.0
Tales of carbon offsets: between experiments and indulgences?,Steffen Dalsgaard,Journal of Cultural Economy,15,1,p52 - p66,2022,10.1080/17530350.2021.1977675,22-Sep-2021,https://doi.org/10.1080/17530350.2021.1977675,1581.0,16.0
Ballistic missile defence and flexible response,,The Adelphi Papers,28,233,p41 - p76,1988,10.1080/05679328808448858,02-May-2008,https://doi.org/10.1080/05679328808448858,24.0,0.0
US missile defence: Where's the broad policy?,Stanley Orman,The RUSI Journal,147,3,p28 - p32,2002,10.1080/03071840208446774,20-Mar-2008,https://doi.org/10.1080/03071840208446774,34.0,0.0
A test bed for enhanced cooperation: The European Defence industry,Michele Nones,The International Spectator,35,3,p25 - p35,2000,10.1080/03932720008458137,09-May-2008,https://doi.org/10.1080/03932720008458137,101.0,3.0
EU approaches landmark on defence,,Strategic Comments,19,9,piii - piv,2013,10.1080/13567888.2013.877678,16-Jan-2014,https://doi.org/10.1080/13567888.2013.877678,141.0,0.0
A Return to Realism: Canadian Defence Policy after the Great Recession,David Perry,Defence Studies,13,3,p338 - p360,2013,10.1080/14702436.2013.845386,05-Dec-2013,https://doi.org/10.1080/14702436.2013.845386,851.0,3.0
Internal pressures behind defence policies in Western Europe,Christoph Bertram,Survival,13,1,p13 - p16,1971,10.1080/00396337108441185,03-Mar-2008,https://doi.org/10.1080/00396337108441185,10.0,2.0
Commentary on Assessing the Turkish defense industry: structural issues and major challenges,Arda Mevlutoglu,Defence Studies,17,3,p282 - p294,2017,10.1080/14702436.2017.1349534,31-Jul-2017,https://doi.org/10.1080/14702436.2017.1349534,1299.0,12.0
The Military Rise of China: The Real Defence Budget Over Two Decades,Peter E Robertson,Defence and Peace Economics,35,7,p809 - p825,2024,10.1080/10242694.2024.2342043,17-Apr-2024,https://doi.org/10.1080/10242694.2024.2342043,6833.0,1.0
'The weatherman and the umbrella': a case of complex and multilayered defence intelligence relations in the Netherlands,Saskia Pothoven,Intelligence and National Security,39,5,p806 - p823,2024,10.1080/02684527.2023.2287254,06-Dec-2023,https://doi.org/10.1080/02684527.2023.2287254,1766.0,1.0
Indo-US Defence Cooperation and the Emerging Strategic Relationship,Cherian Samuel,Strategic Analysis,31,2,p209 - p236,2007,10.1080/09700160701391159,24-Jul-2007,https://doi.org/10.1080/09700160701391159,690.0,3.0
Defence and development: Some thematic issues,Rocky Williams,Development Southern Africa,18,1,p57 - p77,2001,10.1080/03768350120045321,01-Jul-2010,https://doi.org/10.1080/03768350120045321,310.0,2.0
Why Britain needs a new defence policy,Paul Robinson,The RUSI Journal,150,4,p32 - p35,2005,10.1080/03071840508522887,10-Jun-2008,https://doi.org/10.1080/03071840508522887,62.0,0.0
Australian approaches to countertrade: State and firm responses,"Ann Capling, Andrew F Cooper",Australian Journal of Political Science,29,3,p520 - p540,1994,10.1080/00323269408402310,21-Sep-2007,https://doi.org/10.1080/00323269408402310,29.0,1.0
Central Organisation for Defence,Maurice Dean,Royal United Services Institution. Journal,114,654,p53 - p59,1969,10.1080/03071846909424886,11-Sep-2009,https://doi.org/10.1080/03071846909424886,18.0,0.0
"Gendered defences, gendered offences: What is at stake in the politics of missile defence?",Cristina Masters,Canadian Foreign Policy Journal,12,1,p105 - p118,2005,10.1080/11926422.2005.9673391,14-Mar-2011,https://doi.org/10.1080/11926422.2005.9673391,238.0,2.0
US Defence policy and programmes beyond 1984,Dov S Zakheim,The Round Table,74,293,p7 - p15,1985,10.1080/00358538508453676,15-Apr-2008,https://doi.org/10.1080/00358538508453676,8.0,1.0
Between 'Elevation' and 'Dethronement' of the 'God' - The Ambivalent History of the Right of Self-Defence,Felix Lange,Journal on the Use of Force and International Law,12,1-2,p122 - p159,2025,10.1080/20531702.2025.2578873,07-Nov-2025,https://doi.org/10.1080/20531702.2025.2578873,95.0,0.0
South Africa: An overview of the defence industry,Ruchita Beri,Strategic Analysis,25,4,p569 - p584,2001,10.1080/09700160108458979,15-Jul-2008,https://doi.org/10.1080/09700160108458979,110.0,0.0
The Delicate Balance: Israel and India's Foreign Policy Practice,S Samuel C Rajiv,Strategic Analysis,36,1,p128 - p144,2012,10.1080/09700161.2012.628483,05-Jan-2012,https://doi.org/10.1080/09700161.2012.628483,1206.0,1.0
"Defence Expenditures, Arms Procurement and Corruption in Sub-Saharan Africa",Susan Willett,Review of African Political Economy,36,121,p335 - p351,2009,10.1080/03056240903210754,21-Sep-2009,https://doi.org/10.1080/03056240903210754,1387.0,17.0
Possible future defence postures,,The Adelphi Papers,13,98,p19 - p40,1973,10.1080/05679327308448303,02-May-2008,https://doi.org/10.1080/05679327308448303,13.0,0.0
Defence and European interests-Central European perspectives,Svatopluk Buchlovsky,The RUSI Journal,137,3,p6 - p10,1992,10.1080/03071849208445596,20-Mar-2008,https://doi.org/10.1080/03071849208445596,7.0,0.0
Shortcomings of the EU passing on defence,Theo Capriles,World Journal of VAT/GST Law,1,1,p47 - p60,2012,10.5235/wjovl.1.1.47,07-May-2015,https://doi.org/10.5235/wjovl.1.1.47,33.0,0.0
'... what in the hell's this?' Rehearsing nuclear war in Britain's Civil Defence Corps,Jessica Douthwaite,Contemporary British History,33,2,p187 - p207,2019,10.1080/13619462.2018.1519421,01-Oct-2018,https://doi.org/10.1080/13619462.2018.1519421,1207.0,5.0
Russia's defence industry,,Strategic Comments,13,8,p1 - p2,2007,10.1080/13567880701770219,07-Nov-2007,https://doi.org/10.1080/13567880701770219,107.0,0.0
Cooperating to contrôle: French senators as defence overseers and civil-military actors,Philippe Lagassé,European Security,32,2,p252 - p269,2023,10.1080/09662839.2022.2133564,19-Oct-2022,https://doi.org/10.1080/09662839.2022.2133564,272.0,0.0
Improving value and certainty in defence procurement,Tom McGuffog,Public Money & Management,31,6,p427 - p432,2011,10.1080/09540962.2011.618767,14-Sep-2011,https://doi.org/10.1080/09540962.2011.618767,757.0,3.0
PJHQ - The heart of UK defence capability,Ian KCB Garnett,The RUSI Journal,145,2,p8 - p14,2000,10.1080/03071840008446501,20-Mar-2008,https://doi.org/10.1080/03071840008446501,83.0,0.0
The defence of Western Europe,,The Adelphi Papers,3,4,p3 - p17,1963,10.1080/05679326308447993,02-May-2008,https://doi.org/10.1080/05679326308447993,23.0,0.0
Defence spending: Burden or growth-promoting?,W Robert J Alexander,Defence and Peace Economics,6,1,p13 - p25,1995,10.1080/10430719508404809,19-Oct-2007,https://doi.org/10.1080/10430719508404809,37.0,16.0
Building Japanese deterrence and response capabilities - defence and diplomacy,Robert Ward,Adelphi series,65,516,p61 - p84,2025,10.1080/19445571.2025.2493517,23-Apr-2025,https://doi.org/10.1080/19445571.2025.2493517,313.0,1.0
Boost-phase ballistic-missile defence,,The Adelphi Papers,40,334,p59 - p70,2000,10.1080/05679320008457636,02-May-2008,https://doi.org/10.1080/05679320008457636,107.0,0.0
Twenty questions on defence for a general election,Michael Codner,The RUSI Journal,146,1,p20 - p24,2001,10.1080/03071840108446603,20-Mar-2008,https://doi.org/10.1080/03071840108446603,33.0,0.0
